contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	contamination	kmer_freq	lifestyle
V-PC1_NODE_4734_length_13133_cov_5.545343	13133	No	NA	16	2	1	Low-quality	Genome-fragment	17	0	1	virulent
V-PB1_NODE_605_length_32479_cov_16.673508	32479	No	NA	39	6	1	Medium-quality	Genome-fragment	68.35	0	1	temperate
V-PC1_NODE_3169_length_17737_cov_16.152265	17737	No	NA	26	7	0	Low-quality	Genome-fragment	30.59	0	1	virulent
V-CB3_NODE_1576_length_11295_cov_6.752541	11295	No	NA	17	1	0	Low-quality	Genome-fragment	10.05	0	1	-
V-PA3_NODE_1356_length_19726_cov_8.850578	19726	No	NA	22	2	0	Low-quality	Genome-fragment	41.99	0	1	-
V-PC4_NODE_3453_length_12756_cov_27.824276	12756	No	NA	18	7	0	Low-quality	Genome-fragment	33.95	0	1	virulent
V-CA1_NODE_1349_length_18649_cov_6.235570	18649	No	NA	27	1	0	Medium-quality	Genome-fragment	53.3	0	1	temperate
V-CB2_NODE_2494_length_10072_cov_50.454927	10072	No	NA	14	3	0	Low-quality	Genome-fragment	12.82	0	1	temperate
V-PC2_NODE_1197_length_21370_cov_16.096464	21370	No	NA	40	4	1	Low-quality	Genome-fragment	42.81	0	1	virulent
V-CC4_NODE_1190_length_18957_cov_4.928231	18957	No	NA	12	1	0	Low-quality	Genome-fragment	41.65	0	1	-
V-PC4_NODE_2136_length_20102_cov_6.277154	20102	No	NA	34	3	1	Low-quality	Genome-fragment	22.11	0	1	virulent
V-PC4_NODE_325_length_59274_cov_70.970640	59274	No	NA	77	7	0	Complete	High-quality	100	0	1	virulent
V-PC1_NODE_1063_length_39093_cov_16.235724	39093	No	NA	61	7	1	High-quality	High-quality	100	0	1	virulent
V-CA3_NODE_2551_length_10736_cov_8.882071	10736	No	NA	20	5	0	Low-quality	Genome-fragment	21.88	0	1	temperate
V-CB3_NODE_137_length_50492_cov_21.341029	50492	No	NA	82	6	0	Medium-quality	Genome-fragment	61.25	0	1.24	virulent
V-PC4_NODE_592_length_46400_cov_26.204175	46400	No	NA	66	5	0	Low-quality	Genome-fragment	47.35	0	1	temperate
V-CC2_NODE_1002_length_24830_cov_5.091706	24830	No	NA	40	12	0	Medium-quality	Genome-fragment	61.64	0	1	virulent
V-PA2_NODE_3025_length_10607_cov_15.102279	10607	No	NA	16	2	0	Low-quality	Genome-fragment	26.59	0	1	virulent
V-PC1_NODE_259_length_70945_cov_9.480287	70945	No	NA	110	11	1	High-quality	High-quality	98.42	0	1	virulent
V-CA1_NODE_644_length_32980_cov_9.798985	32980	No	NA	39	2	0	Medium-quality	Genome-fragment	50.77	0	1	virulent
V-PC1_NODE_5467_length_11692_cov_13.506931	11692	No	NA	25	5	0	Low-quality	Genome-fragment	25.2	0	1	virulent
V-PA2_NODE_1043_length_25045_cov_92.895787	25045	No	NA	58	4	1	Low-quality	Genome-fragment	35.41	0	1	temperate
V-CC2_NODE_3173_length_10542_cov_11.584520	10542	No	NA	18	1	0	Low-quality	Genome-fragment	5.88	0	1	temperate
V-PB1_NODE_37_length_75072_cov_409.813921	75072	No	NA	114	9	0	Complete	High-quality	100	0	1	virulent
V-PC3_NODE_1881_length_18893_cov_19.713754	18893	No	NA	27	9	0	Low-quality	Genome-fragment	26.23	0	1	virulent
V-PA3_NODE_1272_length_20996_cov_6.217075	20996	No	NA	22	3	0	Low-quality	Genome-fragment	17.39	0	1	virulent
V-CA4_NODE_44_length_78936_cov_9.398610	78936	No	NA	144	4	6	Low-quality	Genome-fragment	31.93	0	1	virulent
V-PB4_NODE_960_length_20878_cov_23.822749	20878	No	NA	34	4	0	Low-quality	Genome-fragment	42.53	0	1	virulent
V-PB3_NODE_2297_length_11893_cov_3.874831	11893	No	NA	36	3	0	Low-quality	Genome-fragment	8.79	0	1	virulent
V-CC2_NODE_1401_length_18766_cov_10.426026	18766	No	NA	36	7	3	Low-quality	Genome-fragment	34.79	0	1	temperate
V-PB1_NODE_432_length_40171_cov_7.533247	40171	No	NA	98	6	2	Low-quality	Genome-fragment	14.86	0	1	virulent
V-CC4_NODE_248_length_46232_cov_63.102351	46232	No	NA	68	12	0	High-quality	High-quality	100	0	1	virulent
V-PC2_NODE_834_length_28922_cov_19.016433	28922	No	NA	44	10	0	Complete	High-quality	100	0	1	virulent
V-CB1_NODE_419_length_38031_cov_6.081651	38031	No	NA	57	8	0	Medium-quality	Genome-fragment	50.99	0	1	temperate
